,increment_sum_abs,funccount,funccount_cum,funccount_cum_neg,percent,percent_cum,percent_cum_neg
141,2368,1,96642,570,0.0010286795868822778,99.41365263547691,0.5863473645230926
142,2384,2,96644,568,0.0020573591737645556,99.41570999465067,0.584290005349331
143,2416,4,96648,564,0.004114718347529111,99.41982471299819,0.5801752870018078
144,2432,1,96649,563,0.0010286795868822778,99.42085339258507,0.579146607414927
145,2464,1,96650,562,0.0010286795868822778,99.42188207217195,0.5781179278280462
146,2480,1,96651,561,0.0010286795868822778,99.42291075175883,0.5770892482411654
147,2496,1,96652,560,0.0010286795868822778,99.42393943134572,0.5760605686542846
148,2544,1,96653,559,0.0010286795868822778,99.4249681109326,0.5750318890674038
149,2576,1,96654,558,0.0010286795868822778,99.42599679051948,0.574003209480523
150,2592,1,96655,557,0.0010286795868822778,99.42702547010636,0.5729745298936422
151,2608,4,96659,553,0.004114718347529111,99.43114018845388,0.568859811546119
152,2640,1,96660,552,0.0010286795868822778,99.43216886804076,0.5678311319592382
153,2672,1,96661,551,0.0010286795868822778,99.43319754762764,0.5668024523723574
154,2688,1,96662,550,0.0010286795868822778,99.43422622721452,0.5657737727854766
155,2720,1,96663,549,0.0010286795868822778,99.4352549068014,0.5647450931985958
156,2816,1,96664,548,0.0010286795868822778,99.43628358638829,0.563716413611715
157,2832,5,96669,543,0.0051433979344113895,99.4414269843227,0.5585730156772968
158,2848,4,96673,539,0.004114718347529111,99.44554170267023,0.5544582973297736
159,2864,8,96681,531,0.008229436695058222,99.45377113936529,0.546228860634713
160,2896,4,96685,527,0.004114718347529111,99.45788585771281,0.5421141422871898
161,2912,3,96688,524,0.003086038760646834,99.46097189647345,0.5390281035265474
162,2928,6,96694,518,0.006172077521293668,99.46714397399475,0.5328560260052484
163,2944,1,96695,517,0.0010286795868822778,99.46817265358163,0.5318273464183676
164,2960,1,96696,516,0.0010286795868822778,99.46920133316851,0.5307986668314868
165,2992,1,96697,515,0.0010286795868822778,99.4702300127554,0.529769987244606
166,3008,1,96698,514,0.0010286795868822778,99.47125869234227,0.5287413076577252
